,Unnamed: 0,act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
0,0,"№ 3608
 від 09.01.18","м. Кропивницький вул. Генерала Родимцева, 94 (за будинком)",48.4972704,32.3071419,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Генерала Родимцева, 94"
1,1,"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",48.4941379,32.218763,КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
2,2,"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.494176,32.2187183,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня,5,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
3,3,"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",48.4941946,32.2187334,КП «ЖЕО № 4» Міської ради міста Кропивницького,абрикос,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
4,4,"№ 3609
 від 09.01.18","м. Кропивницький вул. Пацаєва, 12, корп. 2",48.4955177,32.2178,КП «ЖЕО № 4» Міської ради міста Кропивницького,акація,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Пацаєва, 12, корп. 2"
5,5,"№ 3610
 від 09.01.18",м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної,48.5116132000008,32.2683721,КП «Благоустрій» Міської ради міста Кропивницького»,акація,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної
6,6,"№ 3611
 від 09.01.18","м. Кропивницький вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",48.507933000002495,32.262468,КП «Благоустрій» Міської ради міста Кропивницького»,акація,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Миколи Левитського
7,7,"№ 3611
 від 09.01.18",м. Кропивницький просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),48.5079330000012,32.262619,КП «Благоустрій» Міської ради міста Кропивницького»,тополя,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький просп. Винниченка
8,8,"№ 3612
 від 09.01.18",м. Кропивницький вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),48.5079330000021,32.262637,КП «Благоустрій» Міської ради міста Кропивницького»,берест,1,№ 345-в від 20.01.18,20.01.18,True,№ 345-в,20.01.18,м. Кропивницький вул. Михайлівська
9,9,"№ 3613
 від 09.01.18",м. Кропивницький вул. Петропавлівська (уздовж дороги біля будинку № 5),48.5047651,32.2804212,гр. Сирота О.М.,акація,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Петропавлівська
