act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3608
 від 09.01.18","м. Кропивницький вул. Генерала Родимцева, 94 (за будинком)",48.4965534646088,32.30649426436767,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 15-20 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Генерала Родимцева, 94"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",48.49386368579056,32.21910992824886,КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя діам. 30-35 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.494817419883184,32.21841928764165,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.4945491276273,32.21794836650287,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.49395432390853,32.21860623009551,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.49382855777081,32.21935332772126,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.49507517565829,32.21938038675315,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",48.49478296184694,32.21907245993154,КП «ЖЕО № 4» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Пацаєва, 12, корп. 2",48.49572672104046,32.21849686833476,КП «ЖЕО № 4» Міської ради міста Кропивницького,акація діам. 65-70 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Пацаєва, 12, корп. 2"
"№ 3610
 від 09.01.18",м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної,48.51176924316458,32.268502168520456,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної
"№ 3611
 від 09.01.18","м. Кропивницький вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",48.508137438347376,32.262306098137636,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 75-80 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Миколи Левитського
"№ 3611
 від 09.01.18",м. Кропивницький просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),48.50871490014831,32.263389455559846,КП «Благоустрій» Міської ради міста Кропивницького»,тополя діам. 65-70 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький просп. Винниченка
"№ 3612
 від 09.01.18",м. Кропивницький вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),48.508783126848506,32.26296403640235,КП «Благоустрій» Міської ради міста Кропивницького»,берест діам. 60-65 см,1,№ 345-в від 20.01.18,20.01.18,True,№ 345-в,20.01.18,м. Кропивницький вул. Михайлівська
"№ 3613
 від 09.01.18",м. Кропивницький вул. Петропавлівська (уздовж дороги біля будинку № 5),48.50483850205015,32.280624519304574,гр. Сирота О.М.,акація діам. 70-75 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Петропавлівська
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5298109363587,32.24571008480709,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52940554445341,32.24583149603406,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52872770943952,32.24508884084136,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5297263575653,32.246273778940825,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52918271638603,32.24580891180157,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52859859446648,32.24527146118694,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52848442475026,32.245053581148625,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52903935038069,32.24577917835555,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52877822118389,32.24573616075835,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52866329282321,32.24578111395509,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52894009400389,32.24607363317357,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.529688545686426,32.244664316330486,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52970641342319,32.245942742084694,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52911627315143,32.24580699742074,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52955678110452,32.24579360737462,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52983862610785,32.24523952900605,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5297139598921,32.245801201362035,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52959843265247,32.24485924576544,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52862974458267,32.24492205763565,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.52945268248886,32.245136837236196,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
